tconst,averageRating,numVotes,originalTitle,startYear,genres,budget,original_language,overview,poster_path,production_countries,revenue,runtime,spoken_languages,status,production_companies_name,title,region,Titres,actor,actress,director,producer,writer,production_countries_1,production_countries_2,production_countries_3,production_countries_4,production_countries_5,actor_1,actor_2,actor_3,actor_4,actor_5,actress_1,actress_2,actress_3,actress_4,actress_5,director_1,director_2,director_3,director_4,director_5,producer_1,producer_2,producer_3,producer_4,producer_5,writer_1,writer_2,writer_3,writer_4,writer_5,genres_1,genres_2,genres_3;;
"tt0314412,7.4,25649,My Life Without Me,2003,""Drama,Romance"",2500000.0,en,A fatally ill mother with only two months to live creates a list of things she wants to do before she dies without telling her family of her illness.,/sFSkn5rrQqXJkRNa2rMWqzmEuhR.jpg,""CA, ES"",12300000.0,106,['en'],Released,""['El Deseo', 'Milestone Productions']"",Ma vie sans moi,FR,Ma vie sans moi | 2003 | My Life Without Me | My Life Without Me,""Mark Ruffalo, Scott Speedman"",""Leonor Watling, Sarah Polley"",Isabel Coixet,""Esther García, Gordon McLennan"",Nanci Kincaid,CA,ES,-,-,-,Mark Ruffalo,Scott Speedman,-,-,-,Leonor Watling,Sarah Polley,-,-,-,Isabel Coixet,-,-,-,-,Esther García,Gordon McLennan,-,-,-,Nanci Kincaid,-,-,-,-,Drama,Romance,-";;
"tt0314416,5.7,252,Mystics,2003,Comedy,0.0,en,A black comedy about two old-time conmen who pretend to be able to communicate with the dead.,/yJ2uBOlVtqp9VtBtw2yn0VSIu9h.jpg,""IE, GB"",0.0,90,['en'],Released,['Screen Ireland'],Mystics,FR,Mystics | 2003 | Mystics | Mystics,""David Kelly, Liam Cunningham, Milo O'Shea"",Maria Doyle Kennedy,David Blair,Nigel Warren-Green,""Mark O'Sullivan, Wesley Burrowes"",IE,GB,-,-,-,David Kelly,Liam Cunningham,Milo O'Shea,-,-,Maria Doyle Kennedy,-,-,-,-,David Blair,-,-,-,-,Nigel Warren-Green,-,-,-,-,Mark O'Sullivan,Wesley Burrowes,-,-,-,Comedy,-,-";;
"tt0314498,5.7,25975,The Perfect Score,2004,""Comedy,Crime,Drama"",0.0,en,Six high school seniors decide to break into the Princeton Testing Center so they can steal the answers to their upcoming SAT tests and all get perfect scores.,/xflTliVBvCztaLzTJx9luHnSqwD.jpg,""DE, US"",0.0,93,['en'],Released,""['Paramount', 'MTV Films']"",The Perfect Score,FR,The Perfect Score | 2004 | The Perfect Score | The Perfect Score,""Chris Evans, Leonardo Nam"",""Erika Christensen, Scarlett Johansson"",Brian Robbins,""Jonathan Glickman, Roger Birnbaum"",""Jon Zack, Marc Hyman, Mark Schwahn"",DE,US,-,-,-,Chris Evans,Leonardo Nam,-,-,-,Erika Christensen,Scarlett Johansson,-,-,-,Brian Robbins,-,-,-,-,Jonathan Glickman,Roger Birnbaum,-,-,-,Jon Zack,Marc Hyman,Mark Schwahn,-,-,Comedy,Crime,Drama";;
"tt0314524,6.5,5500,Populärmusik från Vittula,2004,""Comedy,Drama"",2224000.0,sv,""Matti and Niila, growing up in the mid-sixties in the harsh and conservative environment of a Finnish-speaking part of Tornedalen in Swedish Laponia, close to the Finnish border. Their big dream is to become rock stars. In the present the now grown-up Matti feels guilt for the death of his drug-addicted rock star friend Niila."",/79nUxKn6kPagIOHcOMsev3UxT38.jpg,""DK, FI, SE"",28000000.0,105,""['fi', 'sv']"",Released,""['Solar Films', 'Happy End Filmproductions', 'Filmpool Nord', 'SF Studios', 'Fine & Mellow Productions']"",Musique rock de Vittula,FR,Musique rock de Vittula | 2004 | Popular Music | Populärmusik från Vittula,""Andreas af Enehielm, Jarmo Mäkinen, Max Enderfors"",Kati Outinen,Reza Bagher,""Joachim Stridsberg, Katinka Faragó"",""Erik Norberg, Mikael Niemi"",DK,FI,SE,-,-,Andreas af Enehielm,Jarmo Mäkinen,Max Enderfors,-,-,Kati Outinen,-,-,-,-,Reza Bagher,-,-,-,-,Joachim Stridsberg,Katinka Faragó,-,-,-,Erik Norberg,Mikael Niemi,-,-,-,Comedy,Drama,-";;
"tt0314624,6.0,376,Science Fiction,2002,""Adventure,Family,Mystery"",0.0,en,""Nine-year old Andreas Decker is the new kid in town. He tells his class that he has lived all over the world on account of his parents being top scientific researchers. Yet classmate Vero finds Andreas's workaholic parents really weird. She suggests to spy on them. When Andreas overhears their conversation about conquering the world and becoming leaders, their can only be one conclusion for the baffled children: Andreas's parents are aliens."",/1Klz4SIhPM9o14f0hBvFz9U4Pyk.jpg,""BE, DE, NL"",0.0,90,""['en', 'fr', 'nl']"",Released,['B&T Film'],Science Fiction,FR,Science Fiction | 2002 | Science Fiction | Science Fiction,""David Geclowicz, Jurre Baguet, Wietse Tanghe"",Fran Michiels,Danny Deprez,-,""Chris Craps, Jean-Claude Van Rijckeghem"",BE,DE,NL,-,-,David Geclowicz,Jurre Baguet,Wietse Tanghe,-,-,Fran Michiels,-,-,-,-,Danny Deprez,-,-,-,-,-,-,-,-,-,Chris Craps,Jean-Claude Van Rijckeghem,-,-,-,Adventure,Family,Mystery";;
"tt0314725,7.8,3807,Standing in the Shadows of Motown,2002,""Documentary,Music"",0.0,en,""In 1959, Berry Gordy Jr. gathered the best musicians from Detroit's thriving jazz and blues scene to begin cutting songs for his new record company. Over a fourteen year period they were the heartbeat on every hit from Motown's Detroit era. By the end of their phenomenal run, this unheralded group of musicians had played on more number ones hits than the Beach Boys, the Rolling Stones, Elvis and the Beatles combined - which makes them the greatest hit machine in the history of popular music. They called themselves the Funk Brothers. Forty-one years after they played their first note on a Motown record and three decades since they were all together, the Funk Brothers reunited back in Detroit to play their music and tell their unforgettable story, with the help of archival footage, still photos, narration, interviews, re-creation scenes, 20 Motown master tracks, and twelve new live performances of Motown classics with the Brothers backing up contemporary performers."",/rsOTrPTRhBgw5eWAgJISBMiIg5m.jpg,US,0.0,116,['en'],Released,[],Motown: La véritable histoire,FR,Motown: La véritable histoire | 2002 | Standing in the Shadows of Motown | Standing in the Shadows of Motown,-,-,Paul Justman,Sandford Passman,""Alan Slutsky, Ntozake Shange, Walter Dallas"",US,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Paul Justman,-,-,-,-,Sandford Passman,-,-,-,-,Alan Slutsky,Ntozake Shange,Walter Dallas,-,-,Documentary,Music,-";;
"tt0314786,5.7,17698,The In-Laws,2003,""Action,Comedy,Thriller"",0.0,en,""Right before his daughter's wedding, a mild-mannered foot doctor discovers that his new in-laws are international smugglers."",/uziAQLzimrP8eW3w37F8lo8CnD3.jpg,""DE, US"",20440627.0,98,""['zh', 'en', 'fr']"",Released,""['Franchise Pictures', 'Warner Bros. Pictures']"",Espion mais pas trop!,FR,Espion mais pas trop! | 2003 | The In-Laws | The In-Laws,""Albert Brooks, Michael Douglas, Ryan Reynolds"",Lindsay Sloane,Andrew Fleming,""Bill Gerber, George Edde"",""Andrew Bergman, Ed Solomon, Nat Mauldin"",DE,US,-,-,-,Albert Brooks,Michael Douglas,Ryan Reynolds,-,-,Lindsay Sloane,-,-,-,-,Andrew Fleming,-,-,-,-,Bill Gerber,George Edde,-,-,-,Andrew Bergman,Ed Solomon,Nat Mauldin,-,-,Action,Comedy,Thriller";;
"tt0314942,5.7,1693,Zemsta,2002,Comedy,0.0,pl,""A winter day at a Polish castle, half owned by a fatalistic notary and half by a volcanic old soldier's niece. The old soldier, Cupbearer, and the notary are sworn enemies, which may doom the love between the niece, Klara, and the notary's son, Waclaw. On this day, the tongue-tied Cupbearer asks a braggart courtier, Papkin, to sue on his behalf for the hand of the widow Hanna. Papkin succeeds and"",/q6IPXFbtOQDcSKPgQ5DLRSayFsF.jpg,PL,0.0,100,['pl'],Released,""['Arkafilm', 'TVP', 'Vision']"",La revanche,FR,La revanche | 2002 | The Revenge | Zemsta,""Andrzej Seweryn, Janusz Gajos, Roman Polanski"",Katarzyna Figura,Andrzej Wajda,""Janusz Morgenstern, Michal Kwiecinski, Slawomir Rogowski, Wlodzimierz Otulak"",Aleksander Fredro,PL,-,-,-,-,Andrzej Seweryn,Janusz Gajos,Roman Polanski,-,-,Katarzyna Figura,-,-,-,-,Andrzej Wajda,-,-,-,-,Janusz Morgenstern,Michal Kwiecinski,Slawomir Rogowski,Wlodzimierz Otulak,-,Aleksander Fredro,-,-,-,-,Comedy,-,-";;
"tt0315152,5.9,1411,Ah! Si j'étais riche,2002,Comedy,0.0,fr,""Between Alice, a hospital nurse and Aldo, a shampoo sales representative, things have turned sour of late. Alice blames her husband for lacking ambition and contemplates divorce.One day Aldo wins the ten million euro lotto prize. But, unwilling to share the bonanza, he keeps mum about it, all the more as he finds out Alice has an affair with Gérard, Aldo's former friend and ... new boss. However, Aldo, leading a double life, starts spending his money ..."",/wK8P91PlbLqXi75AlzaxErd1e8q.jpg,FR,0.0,105,""['fr', 'it']"",Released,['TF1 International'],Ah ! Si j'étais riche,FR,Ah ! Si j'étais riche | 2002 | If I Were a Rich Man | Ah! Si j'étais riche,""François Morel, Jean-Pierre Darroussin, Richard Berry"",Valeria Bruni Tedeschi,""Gérard Bitton, Michel Munz"",Charles Gassot,-,FR,-,-,-,-,François Morel,Jean-Pierre Darroussin,Richard Berry,-,-,Valeria Bruni Tedeschi,-,-,-,-,Gérard Bitton,Michel Munz,-,-,-,Charles Gassot,-,-,-,-,-,-,-,-,-,Comedy,-,-";;
"tt0315236,6.3,414,Die Unerzogenen,2007,Drama,0.0,de,""Stevie, a precocious 14-year-old girl must cope with the instabilities of her immoderate parents. When they decide to move to a small provincial town in Germany, Stevie attempts to slip into a normal life. Whilst her parents playfully escape their responsibilities, Stevie tries to make a good impression in town, spreading stories of grandeur and claiming to be the daughter of a diplomat. She makes progress. Yet the good weather doesn’t last and before long, she discovers that her parents have once more resorted to illegal means, as a way of supporting their leisurely lifestyle. As friends and hangers-on of her parents fill their new home, the chaos continually mounts. It is in this atmosphere of physical and emotional destruction, that Stevie must now start to define herself and perhaps even break free."",/9r1kO8jnGs1POAYtclYBA8cXVI5.jpg,DE,0.0,95,""['de', 'en', 'fr']"",Released,""['SWR/Debüt im Dritten', 'WDR', 'Pandora Film']"",Trop libre,FR,Trop libre | 2007 | The Unpolished | Die Unerzogenen,""Birol Ünel, Georg Friedrich"",""Ceci Chuh, Pascale Schiller"",Pia Marais,""Christoph Friedel, Claudia Steffen"",""Horst Markgraf, Malin Schwerdtfeger"",DE,-,-,-,-,Birol Ünel,Georg Friedrich,-,-,-,Ceci Chuh,Pascale Schiller,-,-,-,Pia Marais,-,-,-,-,Christoph Friedel,Claudia Steffen,-,-,-,Horst Markgraf,Malin Schwerdtfeger,-,-,-,Drama,-,-";;
"tt0315327,6.8,423784,Bruce Almighty,2003,""Comedy,Fantasy"",80000000.0,en,""Bruce Nolan toils as a 'human interest' television reporter in Buffalo, N.Y., but despite his high ratings and the love of his beautiful girlfriend, Bruce remains unfulfilled. At the end of the worst day in his life, he angrily ridicules God—and the Almighty responds, endowing Bruce with all of His divine powers."",/f0QqG14SZYYZcV4VWykVc5w13dz.jpg,US,484592874.0,101,['en'],Released,""['Pit Bull Productions', 'Spyglass Entertainment', 'Universal Pictures', 'Shady Acres Entertainment']"",Bruce tout-puissant,FR,Bruce tout-puissant | 2003 | Bruce Almighty | Bruce Almighty,""Jim Carrey, Morgan Freeman, Philip Baker Hall"",Jennifer Aniston,Tom Shadyac,""James D. Brubaker, Michael Bostick"",""Mark O'Keefe, Steve Koren, Steve Oedekerk"",US,-,-,-,-,Jim Carrey,Morgan Freeman,Philip Baker Hall,-,-,Jennifer Aniston,-,-,-,-,Tom Shadyac,-,-,-,-,James D. Brubaker,Michael Bostick,-,-,-,Mark O'Keefe,Steve Koren,Steve Oedekerk,-,-,Comedy,Fantasy,-";;
"tt0315543,7.5,10715,Elsker dig for evigt,2002,""Drama,Romance"",0.0,da,""Cecilie and Joachim are about to get married when a freak car accident leaves Joachim disabled, throwing their lives into a spin. The driver of the other car, Marie, and her family don’t get off lightly, either. Her husband Niels works in the hospital where he meets Cecilie and falls madly in love with her."",/hOrV2fCw2kmSiS4ZMGFPfXqr3lt.jpg,DK,0.0,113,['da'],Released,""['Zentropa Entertainments', 'Det Danske Filminstitut']"",Open Hearts,FR,Open Hearts | 2002 | Open Hearts | Elsker dig for evigt,""Mads Mikkelsen, Nikolaj Lie Kaas"",""Paprika Steen, Sonja Richter"",Susanne Bier,""Jonas Frederiksen, Vibeke Windeløv"",Anders Thomas Jensen,DK,-,-,-,-,Mads Mikkelsen,Nikolaj Lie Kaas,-,-,-,Paprika Steen,Sonja Richter,-,-,-,Susanne Bier,-,-,-,-,Jonas Frederiksen,Vibeke Windeløv,-,-,-,Anders Thomas Jensen,-,-,-,-,Drama,Romance,-";;
"tt0315733,7.6,243396,21 Grams,2003,""Crime,Drama,Thriller"",20000000.0,en,""Paul Rivers, an ailing mathematician lovelessly married to an English émigré"; Christina Peck, an upper-middle-class suburban housewife and mother of two girls;" and Jack Jordan, a born-again ex-con, are brought together by a terrible accident that changes their lives."",/hdS0to9nUpgK0Zm1bZAF6BWRae7.jpg,US,60427839.0,124,['en'],Released,""['This Is That Productions', 'Y Productions', 'Mediana Productions Filmgesellschaft', 'Focus Features']"",21 grammes,FR,21 grammes | 2003 | 21 Grams | 21 Grams,""Benicio Del Toro, Danny Huston, Sean Penn"",Naomi Watts,Alejandro G. Iñárritu,Robert Salerno,Guillermo Arriaga,US,-,-,-,-,Benicio Del Toro,Danny Huston,Sean Penn,-,-,Naomi Watts,-,-,-,-,Alejandro G. Iñárritu,-,-,-,-,Robert Salerno,-,-,-,-,Guillermo Arriaga,-,-,-,-,Crime,Drama,Thriller"
